"type","variable","region","run__id","model","unit","version","scenario","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"ANNUAL","Emissions|CO2","Europe (R10)",146,"IMAGE 3.0","Mt CO2/yr",1,"ENGAGE-INDCi2030-1000f",4327.099012132468,3882.494669949308,3323.295440975946,2749.591209661584,2096.372802924954,1316.191174308903,618.7729251152527,,-289.5394319161736,,-1142.0596295441312,,-1218.7020949239788,,-1285.323162831488,,-1076.737241445516
"ANNUAL","Emissions|CO2","Europe (R10)",153,"IMAGE 3.0","Mt CO2/yr",1,"ENGAGE-INDCi2030-800f",4327.262215054032,3883.333763475589,3328.3899793471774,2429.737541419616,1578.938247824204,671.853752197308,229.4868919263292,,-416.3164383948823,,-1030.672495617786,,-931.6970449340954,,-1089.557182013698,,-848.481163102037
"ANNUAL","Emissions|CO2","Europe (R10)",155,"IMAGE 3.0","Mt CO2/yr",1,"ENGAGE-NPi2020-1000",4327.321968472006,3919.949432729406,3246.801023142657,2479.12802146561,1441.7972578723648,674.8942843097061,347.7445551870493,,38.846061392182975,,-265.08717793649305,,-191.95681669072945,,-527.1545947872012,,-444.4896364616118
"ANNUAL","Emissions|CO2","Europe (R10)",356,"POLES-JRC ENGAGE","Mt CO2/yr",1,"ENGAGE-INDCi2030-500f",3770.7353515625,3548.009033203125,3273.29248046875,1579.3951416015625,634.5230102539062,301.9236145019531,105.56778717041016,,-490.9283142089844,,-809.1465454101562,,-1209.12109375,,-1361.4237060546875,,-1365.85107421875
"ANNUAL","Emissions|CO2","Europe (R10)",357,"POLES-JRC ENGAGE","Mt CO2/yr",1,"ENGAGE-INDCi2030-600f",3770.7353515625,3548.009033203125,3273.29248046875,1675.712646484375,703.006591796875,343.14276123046875,146.16372680664062,,-366.6905212402344,,-543.343994140625,,-1032.72412109375,,-1249.7940673828125,,-1297.93359375
"ANNUAL","Emissions|CO2","Europe (R10)",358,"POLES-JRC ENGAGE","Mt CO2/yr",1,"ENGAGE-INDCi2030-600f-COV",3442.6240234375,3459.31689453125,3206.266845703125,1680.0115966796875,741.8018798828125,366.8460083007813,164.9822998046875,,-284.8938293457031,,-368.26806640625,,-961.5067138671876,,-1251.4351806640625,,-1294.140625
"ANNUAL","Emissions|CO2","Europe (R10)",359,"POLES-JRC ENGAGE","Mt CO2/yr",1,"ENGAGE-INDCi2030-600f-COV-NDCp",3442.670166015625,3037.41796875,2165.872314453125,1110.992919921875,509.5900268554688,251.6763458251953,105.44535064697266,,-264.6075439453125,,-389.2652587890625,,-1029.806396484375,,-1243.911865234375,,-1277.1861572265625
"ANNUAL","Emissions|CO2","Europe (R10)",360,"POLES-JRC ENGAGE","Mt CO2/yr",1,"ENGAGE-INDCi2030-600f-NDCp",3725.5927734375,2913.849853515625,2106.19189453125,1107.5775146484375,515.5109252929688,249.6760711669922,108.49391174316406,,-329.71514892578125,,-264.5120849609375,,-1141.0731201171875,,-1237.7850341796875,,-1265.1005859375
"ANNUAL","Emissions|CO2","Europe (R10)",361,"POLES-JRC ENGAGE","Mt CO2/yr",1,"ENGAGE-INDCi2030-700f",3770.7353515625,3548.009033203125,3273.29248046875,1811.534912109375,817.5519409179688,410.961669921875,202.99966430664065,,-204.0618591308593,,-399.1617736816406,,-873.3695678710938,,-1205.93896484375,,-1278.001953125
"ANNUAL","Emissions|CO2","Europe (R10)",362,"POLES-JRC ENGAGE","Mt CO2/yr",1,"ENGAGE-INDCi2030-800f",3770.7353515625,3548.009033203125,3273.29248046875,1936.67919921875,943.1455078125,504.43499755859375,263.6673583984375,,-106.97028350830078,,-410.3419189453125,,-824.51708984375,,-1163.1353759765625,,-1279.89208984375
"ANNUAL","Emissions|CO2","Europe (R10)",363,"POLES-JRC ENGAGE","Mt CO2/yr",1,"ENGAGE-INDCi2030-900",3770.7353515625,3548.009033203125,3273.29248046875,1281.8834228515625,506.1958618164063,226.5736846923828,26.3049545288086,,-233.6503753662109,,-411.0861511230469,,-471.7542724609375,,-479.3110656738281,,-544.8153076171875
"ANNUAL","Emissions|CO2","Europe (R10)",660,"GCAM 6.0 NGFS","Mt CO2/yr",1,"NGFS Phase 5-Below 2°C",3863.6799813419498,3416.4099481620565,2528.6602458568977,2006.3840986276412,1498.509360079261,1015.4377185534807,527.6163681221847,222.4190544045091,-58.29148655591452,-317.842629781953,-368.5259178962079,-400.78516630813897,-406.15530927573076,-413.13985249308257,-418.48833635450313,-419.573199344483,-417.7146126022997
"ANNUAL","Emissions|CO2","Europe (R10)",662,"GCAM 6.0 NGFS","Mt CO2/yr",1,"NGFS Phase 5-Delayed Transition",3863.6799469832044,3491.4968489159937,3123.5129293569926,2340.9629807972588,1521.694543589793,744.6179841411207,4.615302217424059,-101.77535213714599,-127.69467134520939,-237.94034752576079,-306.666910549659,-357.44388910689054,-402.2799661436986,-406.1959938078638,-415.4826575142356,-418.27084542864753,-414.5528951635507
"ANNUAL","Emissions|CO2","Europe (R10)",667,"MESSAGEix-GLOBIOM 2.0-M-R12-NGFS","Mt CO2/yr",1,"NGFS Phase 5-Below 2°C",3794.943440294969,3551.4801149700747,3030.4487726626876,2447.978090757933,1834.6046842374894,1381.0367624875814,964.4464601944153,585.9467837070588,361.86615962522035,,213.66897012425474,,180.74474846561796,,188.4464966952323,,205.8895988152194
"ANNUAL","Emissions|CO2","Europe (R10)",669,"MESSAGEix-GLOBIOM 2.0-M-R12-NGFS","Mt CO2/yr",1,"NGFS Phase 5-Delayed Transition",3794.943440294969,3551.5455780571315,3205.244847429203,2706.3779561733236,2053.200168873751,1489.5825829299404,889.848474426791,590.155217177018,344.2083667718062,,211.03295836731232,,199.3951499619659,,195.36347704224383,,197.380815354438
"ANNUAL","Emissions|CO2","Europe (R10)",674,"REMIND-MAgPIE 3.3-4.8","Mt CO2/yr",1,"NGFS Phase 5-Below 2°C",4103.2108662,3749.8448178,2899.299055900001,2038.5924582,1319.619643,866.0152443999999,568.1269154,432.3334086,230.54624180000002,,23.505883899999994,,-56.54239319999999,,-15.4786228,,-129.5152728
"ANNUAL","Emissions|CO2","Europe (R10)",676,"REMIND-MAgPIE 3.3-4.8","Mt CO2/yr",1,"NGFS Phase 5-Delayed Transition",4103.2108662,3819.6392554999998,3201.1266036,2059.3765969,621.4338084999999,92.076042,-185.3105245,-278.2792401999999,-391.0333353,,-483.0211228999999,,-631.320457,,-615.6140967000001,,-557.5543613
"ANNUAL","Emissions|CO2","Europe (R10)",697,"IMAGE 3.3","Mt CO2/yr",1,"NAVIGATE Demand-1.5°C-tec_u",3742.313682896362,3172.678027123549,2131.635767812601,1466.603878154568,875.9411456586511,507.3678176069561,249.6280091830532,,64.595761245401,,-10.36236969724127,,-57.8856550905081,,-73.06602001854422,,-22.7930873653152
"ANNUAL","Emissions|CO2","Europe (R10)",699,"IMAGE 3.3","Mt CO2/yr",1,"NAVIGATE Demand-2.0°C-ele_u",3742.363869053594,3242.197967824042,2287.751559147593,1700.654841259748,1325.146990578638,1159.148708448883,1029.142433260062,,896.5093155722235,,695.9085382458409,,607.433895802088,,496.0550003502717,,489.7887767601227
"ANNUAL","Emissions|CO2","Europe (R10)",755,"IMAGE 3.3","Mt CO2/yr",1,"NAVIGATE Demand-2.0°C-ref",3740.218256972506,3192.191994003579,2304.39671855259,1785.046585245285,1421.213492204804,1193.424594987644,984.3174528380999,,784.6437696534439,,597.784544045433,,528.311810223606,,446.8994287261335,,426.4591370016597
"ANNUAL","Emissions|CO2","Europe (R10)",756,"IMAGE 3.3","Mt CO2/yr",1,"NAVIGATE Demand-2.0°C-tec_u",3742.313682896362,3236.133583363041,2304.734314174366,1781.15866867999,1423.639254381538,1195.560667782434,999.5681700025723,,713.8048477821765,,546.5034320056554,,457.9343827981815,,406.7762219480921,,402.5774043767062
"ANNUAL","Emissions|CO2","Europe (R10)",765,"IMAGE 3.3","Mt CO2/yr",1,"NAVIGATE Demand-1.5°C-ele_u",3742.363869053594,3195.452667526824,2182.314219355294,1421.09320208435,856.1589388036219,543.6144689418347,317.5644388487547,,207.2387247075288,,57.46632338092612,,-41.3531365432186,,-58.36877465778731,,1.802657604381398
