"region","model","run__id","type","version","unit","scenario","variable","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"Europe (R10)","POLES-JRC ENGAGE",354,"ANNUAL",1,"Mt CO2/yr","ENGAGE-INDCi2030-300f","Emissions|CO2",3770.7353515625,3548.009033203125,3273.29248046875,1355.703125,522.2479858398438,235.78895568847656,-19.14878273010254,,-852.22998046875,,-1504.40185546875,,-1681.941162109375,,-1810.9521484375,,-1778.0753173828125
"Europe (R10)","POLES-JRC ENGAGE",355,"ANNUAL",1,"Mt CO2/yr","ENGAGE-INDCi2030-400f","Emissions|CO2",3770.7353515625,3548.009033203125,3273.29248046875,1435.271240234375,555.0463256835938,253.10867309570312,30.797792434692383,,-691.0838623046875,,-1219.3455810546875,,-1536.021484375,,-1571.837158203125,,-1544.8458251953125
"Europe (R10)","GCAM 6.0 NGFS",664,"ANNUAL",1,"Mt CO2/yr","NGFS Phase 5-Low Demand","Emissions|CO2",3863.5556759770793,3347.9753311164163,2335.7274663847465,1633.2243466238704,959.0343694330334,301.0393369953368,-338.9580561226432,-567.2030893904981,-538.1239277056362,-564.3344609158166,-573.9517822192603,-575.4520040595961,-574.6184943481235,-571.9476158557674,-562.4178189863843,-549.7392148480294,-540.3131182010479
"Europe (R10)","GCAM 6.0 NGFS",666,"ANNUAL",1,"Mt CO2/yr","NGFS Phase 5-Net-Zero 2050","Emissions|CO2",3863.680355265607,3361.121122134413,2356.2965013713388,1667.1590837669285,994.1278525165512,326.9014734693772,-293.46611043925793,-479.59600052087444,-480.5486525663397,-499.1271997015122,-504.0664478424549,-504.1572335757497,-501.8843164353816,-503.4356548490699,-508.0587332732383,-505.4233707131852,-500.19867988294385
"Europe (R10)","MESSAGEix-GLOBIOM 2.0-M-R12-NGFS",671,"ANNUAL",1,"Mt CO2/yr","NGFS Phase 5-Low Demand","Emissions|CO2",3794.943440294969,3551.4801149700747,2508.103299908965,1615.5283893217893,990.4825601615174,481.3503726780183,79.39941039785359,-183.5797837664344,-482.288755344645,,-453.86039681397074,,-434.52407382697794,,-457.0976198956589,,-454.6355184081869
"Europe (R10)","MESSAGEix-GLOBIOM 2.0-M-R12-NGFS",673,"ANNUAL",1,"Mt CO2/yr","NGFS Phase 5-Net-Zero 2050","Emissions|CO2",3794.943440294969,3551.4801149700747,2265.0038831407483,1496.9777532897688,969.9783766598216,542.23813470938,174.2851106307848,-479.2405586925724,-753.5833853883832,,-464.5704636894024,,-459.7246026835067,,-427.68259935763365,,-443.22964845285367
"Europe (R10)","REMIND-MAgPIE 3.3-4.8",678,"ANNUAL",1,"Mt CO2/yr","NGFS Phase 5-Low Demand","Emissions|CO2",4103.2108662,3507.0694977,1800.6072536,803.7868584999999,117.2228303,-152.8682393,-221.1879394,-191.2782704,-313.34573,,-447.51206809999985,,-466.54533719999995,,-622.7023953,,-713.2441121999999
"Europe (R10)","REMIND-MAgPIE 3.3-4.8",680,"ANNUAL",1,"Mt CO2/yr","NGFS Phase 5-Net-Zero 2050","Emissions|CO2",4103.2108662,3575.1573165,1984.7590623,663.6003085,-112.8934769,-370.05091600000003,-410.2029540999999,-379.595652,-424.7950664999999,,-410.4667981,,-488.1250270999999,,-553.7928436999999,,-555.8029237
"Europe (R10)","IMAGE 3.2",1055,"ANNUAL",1,"Mt CO2/yr","SSP2021-SSP1-SPA1-19-Default","Emissions|CO2",3934.381813406987,3631.192858708201,2882.011273963987,2083.184641709563,1335.410311502423,703.8254395171091,246.3192891106418,10.83774821062067,-263.3298371872285,-461.8159858805554,-610.7545989909682,-732.7971541753012,-900.674607080641,-1001.261088223882,-1164.107049292852,-1129.976700249718,-1143.753426337905
"Europe (R10)","IMAGE 3.2",1056,"ANNUAL",1,"Mt CO2/yr","SSP2021-SSP1-SPA1-19-Default-LowBiomass","Emissions|CO2",3934.201993664132,3504.842997551695,2251.385226136475,1476.466409181668,890.2651113683681,486.6228002354819,217.7626387476205,126.3748580729612,6.367592494271911,-63.17993101058576,-125.6385479087605,-167.6617091649205,-270.441833202788,-319.7288847260268,-372.1732371986492,-364.7153581315039,-425.3525063583502
"Europe (R10)","IMAGE 3.2",1057,"ANNUAL",1,"Mt CO2/yr","SSP2021-SSP1-SPA1-19-Lifestyle","Emissions|CO2",3907.184664763565,3563.758273130781,2670.917666360161,1844.063995528971,1105.02033625158,353.822853438436,-278.5452991182509,-517.9326296323509,-599.680382783093,-742.1442420362582,-845.904709574988,-923.507943555228,-1034.799292976356,-1140.425876840316,-1126.16765741811,-1012.850062060046,-976.1484432313138
"Europe (R10)","IMAGE 3.2",1058,"ANNUAL",1,"Mt CO2/yr","SSP2021-SSP1-SPA1-19-Lifestyle-Renewables","Emissions|CO2",3904.772372282877,3657.244789456012,2715.181353497974,1884.850403003381,1095.689921160806,378.0382932370852,-99.77118884437309,-346.0825933135259,-459.4735193670267,-550.417266895741,-642.5446272480493,-684.1851819978269,-760.5237821634582,-791.8804512743817,-814.6895142342189,-778.1675873510159,-800.1647409530726
"Europe (R10)","IMAGE 3.2",1060,"ANNUAL",1,"Mt CO2/yr","SSP2021-SSP1-SPA1-19-Renewables","Emissions|CO2",3933.244232535302,3631.487289758846,2868.945277156972,2166.720255730829,1480.88732287836,745.2560984971125,264.5262902818196,-4.046014150351539,-230.8533439846097,-542.6823079284649,-742.6796484668694,-992.333516529014,-1055.792740917819,-1217.433231941272,-1253.737201168867,-1119.312068405182,-1041.167908286332
